text,href,tag_name
"Мобильные телефоны F+
вместо
3 990 ₽
3 090 ₽
Скидка 23 %%
-23 %
F+ S350
В корзину
вместо
2 190 ₽
1 209 ₽
Скидка 45 %%
-45 %
F+ B241
В корзину
вместо
3 290 ₽
2 190 ₽
Скидка 33 %%
-33 %
F+ Flip 280
В корзину
вместо
3 990 ₽
3 090 ₽
Скидка 23 %%
-23 %
F+ S350
В корзину
вместо
2 190 ₽
1 690 ₽
Скидка 23 %%
-23 %
F+ S240
В корзину
вместо
1 590 ₽
990 ₽
Скидка 38 %%
-38 %
Ещё −30% по промокоду
F+ F197
В корзину
вместо
1 590 ₽
990 ₽
Скидка 38 %%
-38 %
Ещё −30% по промокоду
F+ F197
В корзину
вместо
2 890 ₽
2 190 ₽
Скидка 24 %%
-24 %
Ещё −30% по промокоду
F+ Flip 240
В корзину",,
"ПОДАРОК
Смартфон Itel A25 L5002 16+1, Crystal blue
Экран: 5"" (1280×720) IPS 60 Гц
Память: встроенная 16 ГБ, оперативная 1 ГБ
Фото: одна камера, основная 5 МП
Аккумулятор: 3020 мА·ч
Процессор: Unisoc SC9832E
4.6
5
и 5 отзывов
27 тыс человек интересовались за 2 месяца
1 990
₽
ПОДАРОК
Доставка завтра
+2
способа
завтра 
Доставка 
SmartPlace RVC
5
Рейтинг 5 из 5
2К
отзывов
В корзину
33 предложения от 1 990 ₽",,
"ПОДАРОК
–49 %
Смартфон Itel A25 L5002 16+1, Starry black
Экран: 5"" (1280×720) IPS 60 Гц
Память: встроенная 16 ГБ, оперативная 1 ГБ
Фото: одна камера, основная 5 МП
Аккумулятор: 3020 мА·ч
Процессор: Unisoc SC9832E
4.6
5
и 5 отзывов
27 тыс человек интересовались за 2 месяца
1 990
₽
Вместо:
3 900 ₽
ПОДАРОК
Доставка завтра
+2
способа
завтра 
Доставка 
SmartPlace RVC
5
Рейтинг 5 из 5
2К
отзывов
В корзину
25 предложений от 1 990 ₽",,
"–50 %
Смартфон BQ 6868L Wide 3/32 ГБ, серый
Экран: 6.8"" (1600x720) IPS
Память: встроенная 32 ГБ, оперативная 3 ГБ
Фото: 3 камеры, основная 13 МП
Аккумулятор: 4000 мА·ч
Процессор: Unisoc Tiger T310
5.0
1
и 1 отзыв
12 тыс человек интересовались за 2 месяца
4 500
₽
Вместо:
9 000 ₽
Доставка с 13 октября
+2
способа
с 13 октября 
Доставка 
мобипарт
В корзину
3 предложения от 4 500 ₽",,
"Популярные предложения
вместо
149 999 ₽
113 999 ₽
Скидка 24 %%
-24 %
Смартфон Apple iPhone 14 Pro 128 ГБ, Dual: nano SIM + eSIM, глубокий фиолетовый
и
26
оценок
В корзину
125 726 ₽
Смартфон Apple iPhone 14 Pro Max 256 ГБ, Dual: nano SIM + eSIM, космический черный
и
434
оценки
В корзину
вместо
129 999 ₽
113 999 ₽
Скидка 12 %%
-12 %
Смартфон Apple iPhone 14 Pro 128 ГБ, Dual: nano SIM + eSIM, космический черный
и
26
оценок
В корзину
вместо
168 990 ₽
128 030 ₽
Скидка 24 %%
-24 %
Смартфон Apple iPhone 14 Pro 256 ГБ, Dual: nano SIM + eSIM, космический черный
и
2
оценки
В корзину
119 919 ₽
Смартфон Apple iPhone 14 Pro Max 128 ГБ, Dual: nano SIM + eSIM, серебристый
и
434
оценки
В корзину
125 198 ₽
Смартфон Samsung Galaxy Z Fold4 12/512 ГБ, Dual: nano SIM + eSIM, бежевый
и
6
оценок
В корзину
116 751 ₽
Смартфон Samsung Galaxy Z Fold4 12/256 ГБ, Dual: nano SIM + eSIM, серый
и
6
оценок
В корзину
НОВИНКА
107 249 ₽
Смартфон Apple iPhone 15 Plus 128 ГБ, Dual еSIM, черный
В корзину
вместо
89 990 ₽
70 990 ₽
Скидка 21 %%
-21 %
Смартфон Nothing Phone (2) 12/512 ГБ черный
и
36
оценок
В корзину
108 832 ₽
Смартфон Apple iPhone 14 Pro 128 ГБ, Dual: nano SIM + eSIM, золотой
и
399
оценок
В корзину",,
